Transaction Number,Vendor,Category,Amount
1900805038,TRANSITIONAL CARE LTD,General,"£16,500"
1900805039,TRANSITIONAL CARE LTD,General,"£16,500"
5201138791,CADLINE LTD,IT and Telecoms,"£16,490"
5201140673,PLM OFFICE SOLUTION,General,"£16,408"
5201140784,FUSION LIFESTYLE,General,"£16,384"
8001846615,ACORN LODGE CARE HOME,Temporary Accommodation,"£16,373"
5201138420,THE NIA PROJECT,General,"£16,333"
1900803221,DAIRY CREST LTD,Food and Drink,"£16,251"
1900804309,PENNA PLC,People and Recruitment,"£16,216"
1900804213,T & B CONTRACTORS LTD,"Construction, Property and Fac Man","£16,183"
1900803310,HOMERTON UNI HOSP NHS FOUNDATION TR,Public Health,"£16,086"
5201138943,LONDON BOROUGH OF WALTHAM FOREST,Learning and Development,"£16,000"
1900805030,WOODCROFT SCHOOL,General,"£15,961"
1900805033,WOODCROFT SCHOOL,General,"£15,961"
1900805029,WOODCROFT SCHOOL,General,"£15,961"
1900805027,WOODCROFT SCHOOL,General,"£15,961"
1900805028,WOODCROFT SCHOOL,General,"£15,961"
8001848967,HILLCREST CARE SERVICES LTD,Temporary Accommodation,"£15,943"
8001848957,CASTLE HOMES CARE LIMITED,Temporary Accommodation,"£15,943"
1900802279,PENNA PLC,People and Recruitment,"£15,811"
1900803425,TRANSITIONAL CARE LTD,General,"£15,738"
5201138886,RINGWAY JACOBS LIMITED,Public Realm,"£15,350"
8001848948,4D CARE LTD,Temporary Accommodation,"£15,279"
8001848969,CASTLE HOMES CARE LIMITED,Temporary Accommodation,"£15,268"
1900802836,PENNA PLC,People and Recruitment,"£15,260"
5201139181,BRIMALK LTD,IT and Telecoms,"£15,185"
8001848962,CHARTWELL CARE PLC,Temporary Accommodation,"£15,057"
5201138584,IRG ADVISORS LLP,People and Recruitment,"£15,000"
5201138425,MACE LTD,"Construction, Property and Fac Man","£14,965"
8001836721,HAIL LTD,Social care,"£14,879"
5201139378,STAR CARS LTD,Transport & Travel,"£14,855"
1900804403,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£14,850"
1900802738,TOGETHER NORTH LONDON,Children and Education,"£14,795"
5201138870,RINGWAY JACOBS LIMITED,Public Realm,"£14,770"
