Transaction,Vendor,Category,  Amount  
8001485521,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man","£1,460.70"
8001497518,WATERFALL HOUSE LTD,Temporary Accommodation,"£1,458.78"
8001497507,VENETIA RESIDENTIAL CARE HOME,Temporary Accommodation,"£1,458.47"
8001477354,BUPA CARE HOMES,Temporary Accommodation,"£1,456.59"
8001488801,CIRCLE OF CARE SERVICE LTD,Social care,"£1,456.00"
8001488670,CIRCLE OF CARE SERVICE LTD,Social care,"£1,456.00"
1900784454,HAVEN HOUSE FOUNDATION,General,"£1,455.00"
5201110881,DX NETWORK SERVICES LTD,Travel,"£1,455.00"
8001479328,HC-ONE LIMITED T/A BIRCHWOOD GRANGE,Temporary Accommodation,"£1,453.02"
8001491121,SHARED CARE SERVICES LTD,Social care,"£1,452.97"
8001497520,WIMBORNE HOUSE LIMITED,Temporary Accommodation,"£1,452.84"
8001480758,MAGICARE LTD,Temporary Accommodation,"£1,448.87"
8001481933,FIVE ACRES NURSING HOME LTD,Temporary Accommodation,"£1,445.73"
8001480702,STEP AHEAD SERVICES LTD,"Construction, Property and Fac Man","£1,445.40"
8001488345,EXTRA MILE CARE COMPANY,Social care,"£1,443.75"
8001480579,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,440.00"
1900783700,OAKTREE SCHOOL,Children and Education,"£1,440.00"
1900783089,ATLANTIC LODGE  LTD,Temporary Accommodation,"£1,439.61"
8001497539,JEWISH CARE,Temporary Accommodation,"£1,439.46"
5201110817,REDACTED PERSONAL DATA,Sport and Leisure,"£1,435.45"
8001498572,B&M INVESTMENTS LIMITED,Temporary Accommodation,"£1,432.69"
8001482105,SEVACARE (UK) LTD,Social care,"£1,429.56"
8001488144,SEVACARE (UK) LTD,Social care,"£1,429.56"
8001488029,SEVACARE (UK) LTD,Social care,"£1,429.56"
8001487832,SEVACARE (UK) LTD,Social care,"£1,429.56"
8001482235,SEVACARE (UK) LTD,Social care,"£1,429.56"
8001487899,SEVACARE (UK) LTD,Social care,"£1,429.56"
8001482176,SEVACARE (UK) LTD,Social care,"£1,429.56"
8001487964,SEVACARE (UK) LTD,Social care,"£1,429.56"
8001482410,SEVACARE (UK) LTD,Social care,"£1,429.56"
8001482334,SEVACARE (UK) LTD,Social care,"£1,429.12"
8001482184,SEVACARE (UK) LTD,Social care,"£1,429.12"
8001487907,SEVACARE (UK) LTD,Social care,"£1,429.12"
8001488066,SEVACARE (UK) LTD,Social care,"£1,429.12"
5201109834,THAMES WATER UTILITIES LTD,Energy and Utilities,"£1,426.47"
8001488201,EXTREME ENVIRONMENTAL SERVICES LTD,Social care,"£1,425.00"
8001490021,ONE HOUSING GROUP LTD,Social care,"£1,424.96"
5201108952,JCJ LOCUMS LTD,People and Recruitment,"£1,422.00"
5201108951,JCJ LOCUMS LTD,People and Recruitment,"£1,422.00"
5201110350,JCJ LOCUMS LTD,People and Recruitment,"£1,422.00"
8001491481,OASIS CARE & TRAINING AGENCY,Social care,"£1,420.80"
8001481901,ALLISON LODGE LIMITED,"Construction, Property and Fac Man","£1,420.80"
8001482783,FINEFAIR LTD,"Construction, Property and Fac Man","£1,419.88"
8001487833,SEVACARE (UK) LTD,Social care,"£1,419.35"
8001482445,HOLMDENE HOUSING LIMITED,"Construction, Property and Fac Man","£1,417.14"
1900784403,HORIZON TEACHERS LTD,Children and Education,"£1,417.00"
5201111576,VOLKERHIGHWAYS LTD,Public Realm,"£1,416.86"
8001482006,CARE UK COMMUNITY PARTNERSHIPS LTD,Temporary Accommodation,"£1,415.73"
8001477002,ARAN HOMES LIMITED,Temporary Accommodation,"£1,413.76"
8001496484,ARAN HOMES LIMITED,Temporary Accommodation,"£1,413.76"
8001480081,TURKISH CYPRIOT COMMUNITY ASSN.,Social care,"£1,412.16"
8001472258,WATERFALL HOUSE LTD,Temporary Accommodation,"£1,411.71"
8001472247,VENETIA RESIDENTIAL CARE HOME,Temporary Accommodation,"£1,411.41"
8001488102,SEVACARE (UK) LTD,Social care,"£1,411.34"
1900784455,CHRISTOPHER HOUSE (LONDON) LTD,Temporary Accommodation,"£1,410.00"
8001485002,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man","£1,410.00"
8001488241,SEVACARE (UK) LTD,Social care,"£1,409.98"
8001489542,NTEC SUPPORT SERVICES LTD,Social care,"£1,408.00"
8001496911,ABBEYDALE,Temporary Accommodation,"£1,407.01"
8001472260,WIMBORNE HOUSE LIMITED,Temporary Accommodation,"£1,405.97"
1900784251,REDACTED PERSONAL DATA,General,"£1,405.60"
8001482106,SEVACARE (UK) LTD,Social care,"£1,404.03"
8001493803,PASHUN OUTREACH SERVICES LTD,Social care,"£1,401.60"
8001476661,PASHUN OUTREACH SERVICES LTD,Social care,"£1,401.60"
8001493595,REDACTED PERSONAL DATA,Social care,"£1,401.43"
1900783678,SOUTHERN FORENSIC MEDICAL SERVICES,General,"£1,400.30"
8001486681,ASHNESS CARE LTD,Temporary Accommodation,"£1,400.00"
8001486665,ASHNESS CARE LTD,Temporary Accommodation,"£1,400.00"
