Transaction,Vendor,Category,Amount
5201101057,ASSOC OF MULTICULTURAL COMMUNITES U,Children and Education,"£5,696.99"
5201101813,TRUSTMARQUE SOLUTIONS LIMITED,IT and Telecoms,"£5,695.36"
5201099579,EFFECTABLE CONSTRUCTION SERVICES LT,Social Care,"£5,692.69"
8001432417,UNIFIED CARE LTD,Temporary Accommodation,"£5,672.96"
5201099840,CYCLE TRAINING UK LTD,Learning and Development,"£5,671.00"
5201101633,EFFECTABLE CONSTRUCTION SERVICES LT,Social Care,"£5,618.96"
8001435426,CREDO CARE LIMITED,Children and Education,"£5,600.00"
8001435427,CREDO CARE LIMITED,Children and Education,"£5,600.00"
8001428417,OAK TREE CARE SERVICES LIMITED,Temporary Accommodation,"£5,600.00"
5201101527,LOGICALIS UK LTD,IT and Telecoms,"£5,588.19"
5201100661,CIVICA UK LTD,Recruitment and People,"£5,565.42"
5201099588,EFFECTABLE CONSTRUCTION SERVICES LT,Social Care,"£5,547.92"
5201100784,UNITED GUARDING SERVICES LTD,General,"£5,546.10"
5201101627,EFFECTABLE CONSTRUCTION SERVICES LT,Social Care,"£5,538.28"
200332076,NEWHAM ASIAN WOMENS' PROJECT,Social Care,"£5,527.15"
200332589,NEWHAM ASIAN WOMENS' PROJECT,Social Care,"£5,527.15"
5201099587,EFFECTABLE CONSTRUCTION SERVICES LT,Social Care,"£5,516.12"
8001431327,EDENVALE CARE LIMITED,Temporary Accommodation,"£5,508.00"
8001431328,EDENVALE CARE LIMITED,Social Care,"£5,508.00"
5201099615,M A WHITE GROUP T/A ASCOT SIGN SYST,Communication,"£5,500.50"
8001432367,REDACTED PERSONAL DATA,Social Care,"£5,480.84"
8001432415,UNIFIED CARE LTD,Temporary Accommodation,"£5,447.84"
8001434768,AUTISM WEST MIDLANDS,Social Care,"£5,427.70"
1900775905,REDACTED PERSONAL DATA,General,"£5,426.00"
8001434682,DYNAMIC PEOPLE LTD,Social Care,"£5,418.01"
5201100247,BRIMALK LTD,IT and Telecoms,"£5,412.00"
8001428799,DILIGENT CARE SERVICES LTD,Social Care,"£5,408.00"
1900776630,ILANA RAPAPORT COMMUNICATIONS,Communication,"£5,400.00"
